Jogo,Real,Previsto,Prob_Vitoria,Correto
Jogo 1,Vitoria,Vitoria,89.59%,?
Jogo 2,Vitoria,Vitoria,100.00%,?
Jogo 3,Derrota,Vitoria,86.66%,?
Jogo 4,Vitoria,Vitoria,84.24%,?
Jogo 5,Derrota,Derrota,11.25%,?
Jogo 6,Vitoria,Derrota,32.80%,?
Jogo 7,Derrota,Derrota,3.47%,?
Jogo 8,Vitoria,Vitoria,99.54%,?
Jogo 9,Derrota,Derrota,0.40%,?
Jogo 10,Derrota,Derrota,3.52%,?
Jogo 11,Derrota,Derrota,10.59%,?
Jogo 12,Derrota,Vitoria,63.29%,?
Jogo 13,Vitoria,Derrota,25.90%,?
