Jogo,Real,Previsto,Prob_Vitoria,Correto
Jogo 1,Vitoria,Vitoria,88.11%,?
Jogo 2,Vitoria,Vitoria,99.61%,?
Jogo 3,Derrota,Vitoria,78.25%,?
Jogo 4,Vitoria,Vitoria,87.81%,?
Jogo 5,Derrota,Derrota,21.34%,?
Jogo 6,Vitoria,Vitoria,69.95%,?
Jogo 7,Derrota,Derrota,7.17%,?
Jogo 8,Vitoria,Vitoria,98.55%,?
Jogo 9,Derrota,Derrota,16.75%,?
Jogo 10,Derrota,Derrota,4.63%,?
Jogo 11,Derrota,Derrota,8.31%,?
Jogo 12,Derrota,Vitoria,59.47%,?
Jogo 13,Vitoria,Derrota,19.60%,?
