Metrica,MLP (Adam),Reg. Logistica (Atv 1)
Acuracia,0.6153846153846154,0.8461538461538461
Precisao,0.5714285714285714,0.8333333333333334
F1-Score,0.6153846153846154,0.8333333333333334
AUC-ROC,0.5952380952380952,0.9761904761904763
