Jogo,Prob_Vitoria,Real,Ranking
Jogo 2,0.9961447,1,1
Jogo 8,0.9855459,1,2
Jogo 1,0.8811208,1,3
Jogo 4,0.87806,1,4
Jogo 3,0.7825426,0,5
Jogo 6,0.69948345,1,6
Jogo 12,0.59466976,0,7
Jogo 5,0.21335627,0,8
Jogo 13,0.19599323,1,9
Jogo 9,0.16746232,0,10
Jogo 11,0.083081625,0,11
Jogo 7,0.07165146,0,12
Jogo 10,0.046260595,0,13
