Jogo,Prob_Vitoria,Real,Ranking
Jogo 2,0.9999984,1,1
Jogo 8,0.9990131,1,2
Jogo 3,0.97126067,0,3
Jogo 4,0.9635094,1,4
Jogo 1,0.9429524,1,5
Jogo 13,0.34922576,1,6
Jogo 12,0.2502325,0,7
Jogo 6,0.19242011,1,8
Jogo 5,0.1296954,0,9
Jogo 11,0.030437142,0,10
Jogo 10,0.01998812,0,11
Jogo 7,0.006704543,0,12
Jogo 9,0.0048271446,0,13
